crop_id	crop_family	crop_common_name	genus	species	subvariety	additional_description	synonyms	native_status	light_intensity	photoperiod	response_comment	woody_flag	growth_habit	maximum_annual_precipitation_mm	minimum_annual_precipitation_mm	absolute_maximum_temperature_celsius	absolute_minimum_temperature_celsius	optimum_maximum_temperature_celsius	optimum_minimum_temperature_celsius	minimum_growing_days	maximum_growing_days	soil_type_description	soil_texture_requirement_code	soil_drainage_requirement_description	soil_drainage_requirement_code	maximum_soil_ph	minimum_soil_ph	critical_minimum_winter_temperature_celsius	weed_flag
BETVUL30	Chenopodiac	Beet; Sugarbeet; Mangle	Beta	vulgaris	subsp. vulgaris				Bright-Lt shad	Long day	Highest sugar production in areas with 19-22 C average temperature. Not good on clays. Require a cool climate. Withstands mild frost.		Functional Annual/Biennial	800	600	35	4	25	15	60	80	"Deep loam, high organic matter"	M	Well	W	8	6	-5	
BOROFF39	Boraginacea	Borage	Borago	officinalis					Bright	"Long day, short day and day neutr"			Annual	1000	500	26	4	22	15	150	180	Heavy	FM	Well	W	8	7		
BRAJUN35	Brassicacea	Canola	Brassica	juncea	var. juncea	(spring seeded)			Bright to clea		Sunny days and cool nights favorable. Planted April-June. Low erucic acid oil and low glucosinolates meal. High temperature during flowering period is detrimental. Does not endure ponding. Salt tolerant.		Annual	1000	500	41	5	25	10	80	90	Medium to light textures	MMCV	Well	W	8	6	-8	
BRAJUN54	Brassicacea	Mustard - Brown; Indian mustard	Brassica	juncea	var. juncea		Sinapsis juncea		Clear		Tolerant of drought and acidity. Cool season vegetable. Thrives in hot days and cool nights.		Annual	2400	700	40	7	28	15	50	100	Sandy loams	MC	Well	W	7	6	-5	
BRANAP60	Brassicacea	Rutabaga	Brassica	napus	var. napobrassic		B. napobrassica; B. napus rapifera		Bright to clou	"Long day, short day and day neutr"	Cold hardy and drought tolerant. Cool season crop confined to northern third of US.		Functional Annual/Biennial	1000	700	35	5	24	14	90	180	Medium to light textures	MC	Well	W	7	6	-1	
BRANAP61	Brassicacea	Canola - Argentine	Brassica	napus	var. napus	(spring seeded)	B. campestris napus; B. napus annua; B. napus napus		Bright to clea		Sunny days and cool nights favorable. Planted April-June. Low erucic acid oil and low glucosinolates meal. High temperature during flowering period is detrimental. Does not endure ponding. Salt tolerant.		Annual	1000	500	41	5	25	10	80	95	Medium to light textures	MMCV	Well	W	8	6	-8	
BRANAP63	Brassicacea	Canola - Winter	Brassica	napus	var. napus	(fall seeded)	B. campestris napus;  B. napus biennies; B. napus napus biennis		Bright to clea		Winter annual. Low erucic acid oil and low glucosinolates meal. High temperature during flowering period is detrimental. Does not endure ponding. Established plants endure winter best. Salt tolerant.		Winter Annual	1000	500	41	5	25	10	280	340	Medium to light textures	MMCV	Well	W	8	6	-20	
BRAOLE68	Brassicacea	Cauliflower	Brassica	oleracea	var. botrytis				Cloudy	"Long day, short day and day neutr"	Prefers deep soils of high fertility. Low salt tolerance.		Functional Annual/Biennial	1100	600	30	5	20	15	50	80	Heavy loams	M	Well	W	8	6	-5	
BRAOLE69	Brassicacea	Cabbage	Brassica	oleracea	var. capitata				Clear	"Long day, short day and day neutr"	"Prefers shallow, organic soils of high fertility. Low salt tolerance."		Functional Annual/Biennial	1000	500	32	7	24	15	65	90	Heavy to sandy loams	MMC	Well	W	8	6	-15	
BRAOLE71	Brassicacea	Brussels sprouts	Brassica	oleracea	var. gemmifera				Bright to clea	"Long day, short day and day neutr"	"Prefers well drained, highly fertile soils of medium depth. Low salt tolerance."		Functional Annual/Biennial	1600	900	30	5	20	15	80	110	Heavy to sandy loams	MMC	Well	W	7	6	-15	
BRAOLE72	Brassicacea	Kohlrabi	Brassica	oleracea	var. gongyloides		B. caulorapa; B. oleracea caulorapa		Bright	"Long day, short day and day neutr"	"Prefers well drained, highly fertile, deep soils. Low salt tolerance."		Functional Annual/Biennial	1300	900	25	5	20	15	50	70	Deep medium textured soils	M	Well	W	7	6	-2	
BRARAP62	Brassicacea	Canola - Polish	Brassica	rapa	var. rapa	(spring seeded)			Bright to clea		Sunny days and cool nights favorable. Planted April-June. Low erucic acid oil and low glucosinolates meal. High temperature during flowering period is detrimental. Does not endure ponding. Salt tolerant.		Annual	1000	500	41	5	25	10	75	80	Medium to light textures	MMCV	Well	W	8	6	-8	
BRARAP84	Brassicacea	Turnip	Brassica	rapa	subsp. rapa		B. campestris rapifera; B. rapa rapifera; B. rapa septiceps		Clear	"Long day, short day and day neutr"	"Cool climate crop, resistant to frost and mild freezes. No salt tolerance."		Functional Annual/Biennial	1400	900	30	4	17	10	40	80	Highly fertile deep loams	M	Well	W	7	6	-4	
BROINE89	Poaceae	Brome - Smooth; Bromegrass	Bromus	inermis	subsp. inermis		Bromopsis inermis		Bright to clou	Long day	Adapted to regions of moderate rainfall and cool to moderate summer temperatures.		Perennial	1000	600	45	2	25	12	120	180	Clay or silt loam	MMC	Well	W	8	6	-39	Weed
BRORIP93	Poaceae	Brome - Meadow	Bromus	riparius			Bromopsis riparia				Meadow brome grass is adapted to the same soils and climatic conditions and will grow well wherever smooth brome grass does well.		Annual/Perennial	762	380	45	4	25	12	120	180	Fertille soils	M	Well	W	9	6	-39	
CAJCAJ97	Fabaceae	Pigeon pea	Cajanus	cajan			C. indicus		Intermediate	Short day	Tropical. Host for lac/wax insects.	Shrub	Perennial	3810	762	35	10	29	18	90	365	Medium to coarse	MMCV	Well	W	8	5	-1	
CANSAT06	Cannabaceae	Hemp	Cannabis	sativa	subsp. sativa				Very bright	Short day	Fiber hemp needs a mild temperate climate. Adaptable to many soil and climatic conditions.		Annual	1200	600	32	6	28	15	90	170	Silt or clay loam	M	Well	W	7	6		"Noxious weed:IL, IN, MN, MO, ND, PA,"
CARTIN14	Asteraceae	Safflower	Carthamus	tinctorius					Bright	"Long day, short day and day neutr"	Salt tolerant. Moderately drought tolerant. Some species very frost and cold tolerant. Does not tolerate standing water. Not weedy. Shade and weed intolerant. Poor competitor for 3-4 weeks.		Annual	1000	600	45	5	32	20	120	245	Deep clay loams	M	Well	W	8	5	-14	
CHEQUI42	Chenopodiac	Quinoa	Chenopodium	quinoa	subsp. quinoa				Bright to clea	"Long day, short day and day neutr"	"Climatic needs greatly influenced by ecotype. Cold, drought, and temperatures are variable."		Annual	1000	500	35	2	18	14	90	240	Sandy and clayey soils	A	Well	W	8	6	-8	
CICARI45	Fabaceae	Chick pea; Garbanzo	Cicer	arietum					Very bright	Short day and day neutral	Cool season annual.		Annual	1000	600	35	7	29	15	90	180	Medium to heavy	FM	Well	W	9	6	-9	
CICINT47	Asteraceae	Chicory	Cichorium	intybus					Bright to clea	"Long day, short day and day neutr"	"Deep rooting, cool weather crop. Tolerates only moderate summer temps. Good drained needed. May be grown as an annual."		Biennial/Perennial	1524	508	35	6	27	10	90	330	Deep fertile or sand loam soil	MC	Well	W	7	5	-41	Noxious weed:CO
CITLAN49	Cucurbitace	Watermelon	Citrullus	lanatus	var. lanatus		C. vulgaris; Colocynthis citrullus		Bright to clea	Long day	Frost tender. Tolerates drought. Intolerant of wet soils. Requires a long hot summer.		Annual	1300	1000	40	15	30	20	80	95	"Rich, sandy loam"	MC	Well	W	7	6	0	
CORSAT67	Apiaceae	Cilantro; coriander	Coriandrum	sativum					Clear	"Long day, short day and day neutr"	Naturalized worldwide. Probable origin is Mediterranean.		Annual	1400	400	32	4	25	15	35	140	Medium	M	Well	W	8	6	-10	
CRAABY73	Brassicacea	Crambe	Crambe	abyssinica					Bright	"Long day, short day and day neutr"	"Drought tolerant, but needs adequate soil moisture."		Annual	1500	800	35	10	25	15	90	120	Coarse to fine texture	A	Well	W	8	6	-1	
CUCPEP96	Cucurbitace	Pumpkin; Ornamental gourd; Zucchini; Squash	Cucurbita	pepo	subsp. pepo var.				Bright	"Long day, short day and day neutr"	Prefers soils of moderate depth and fertility. Low salt tolerance.		Annual	1500	600	40	6	30	17	40	100	Medium or organic soils	M	Well	W	8	6		
CUCSAT88	Cucurbitace	Cucumber	Cucumis	sativus	var. sativus				Bright	"Long day, short day and day neutr"	"Warm season crop with high summer temperature requirements. Ample moisture, but low humidity."		Annual	1200	1000	38	6	32	18	40	180	Well manured sandy loams	MC	Well	W	8	6		
CUMCYM97	Apiaceae	Cumin	Cuminum	cyminum			C. odorum		Very bright	Short day	Possible origin central Asia or Egypt. Can not endure long periods of dry heat. Not for lattitudes above 40.		Annual	1800	1200	30	9	26	17	60	110	"Medium, organic"	MMC	Well	W	7	5		
CYMCIT03	Poaceae	West Indian lemon grass; lemon grass	Cymbopogon	citratus			Andropogon citratus		Very bright	Short day	Does not thrive where average July temperature exceeds 25 C. Can not endure periods of dry heat. Grows better on clay soils than sany soils.		Perennial	3000	1500	34	18	30	24	120	365	Medium to clay	FM	Well	W	7	4	-2	
DACGLO11	Poaceae	Orchard grass; Cocksfoot	Dactylis	glomerata					Bright to clou	Long day	Drought resistant and withstands high temps. Adapted to humid temperate climates.		Perennial	1530	655	31	5	26	12	80	180	Medium; fine clays and clay loams	FM	Well	W	8	6	-33	Weed
DAUCAR17	Apiaceae	Carrot	Daucus	carota	subsp. sativus				Clear to cloud	Long day	"Best in sandy loams. Needs long periods of mild weather free of temperature and moisture extremes. Closely related, wild carrot is a noxious weed in several states."		Functional Annual/Biennial	1200	600	30	3	24	15	40	150	"Sandy loams, loams and organics"	MMC	Well	W	7	6	-1	"Close relative of noxious weed:IA, M"
DIGPUR23	Scrophulari	Foxglove; Purple foxglove	Digitalis	purpurea					Very bright	Long day	"Source of digitalin, digitoxin, and gitalin. Found in northeast and western states."		Biennial	1100	700	24	3	21	11	150	180	"Fine, medium; light"	FM	Excessive	W	7	6	-25	
ELYCAN50	Poaceae	Wild rye - Canada	Elymus	canadensis					Bright to clea	Long day	"Bunchgrass native to Plains, Rocky Mountains, and Pacific Northwest. Grows in all soils but best in sand."		Perennial	1000	500	27	2	22	10	90	180	"All; moist sand, gravel, or rock"	A	Semi-Exce	A	8	6	-36	Weed
ELYELO57	Poaceae	Wheatgrass - Tall	Elytrigia	elongata			Agropyron elongatum; Elymus elongatus		Bright to clea	Long day	"Cool season bunchgrass, from Mediterranean. Winter hardy, and drought tolerant."		Perennial	600	350	25	2	20	12	120	270	Light textures	MMCV	Well	W	8	7	-39	
ELYINT58	Poaceae	Wheatgrass - Pubescent	Elytrigia	intermedia	subsp. intermedi		Agropyron intermedium; A. i. trichophorum; A. trichophorum		Bright to clea	Long day	"Cool season, sod-forming grass. Fair salinity tolerance. Drought resistant."		Perennial	635	300	36	5	20	15	90	230	Light textures	MMCV	Well	W	8	7	-38	
ELYTRA55	Poaceae	Wheatgrass - Slender	Elymus	trachycaulus	subsp. trachycau		Agropyron trachycaulum		Bright to clea	Long day	Very short lived and adapted to climate of northern Great Plains. High drought and salt tolerances.		Perennial	635	203	26	3	22	13	90	240	All; fine to medium textured soils	FM	Well	W	9	6	-39	
ERATEF63	Poaceae	Teff	Eragrostis	tef			E. abyssinica; Poa abyssinica		Bright	"Long day, short day and day neutr"	Drought resistant cereal grain crop of Ethiopia. Susceptible to frost. Health food.		Annual	1200	600	30	2	28	22	65	150	"Sandy loams, also black soils"	MC	Moderatel	W	7	6		
FAGESC71	Polygonacea	Buckwheat	Fagopyrum	esculentum			F. sagittatum; F. vulgare		Bright to clea	"Long day, short day and day neutr"	"Sensitive to cold, high temperatures, and dry weather. Grows best in cool moist climates."		Annual	1000	70	40	7	27	17	55	85	Sand or silt loam	MMC	Well	W	7	5		
FESARU76	Poaceae	Fescue - Tall	Festuca	arundinacea			F. elatior		Bright to clea	Short day	Bunchgrass adapted to entire US except coastal plains. Minimum temperature reported does not agree with distribution.		Perennial	1300	600	30	5	22	15	150	190	Heavy soils	F	Well	W	8	6	-3	Weed
FESOVI78	Poaceae	Fescue - Sheep	Festuca	ovina					Very bright	"Long day, short day and day neutr"	Well suited to sandy soils. Cold and drought tolerant.		Perennial	755	305	26	2	22	10	90	180	"Medium,coarse"	MMCV	Well	W	8	6	-42	Weed
FESPRA79	Poaceae	Fescue - Meadow	Festuca	pratensis			Lolium pratense		Bright to clou	Long day	Adapted to cool humid climate but limited by high average summer temps.		Perennial	1200	800	24	4	19	11	120	270	Medium to heavy textures	FM	Poor	P	8	5	-43	Weed
FOEVUL83	Apiaceae	Fennel	Foeniculum	vulgare					Very bright	Long day	Generall grown as an annual. Seeds produced second season.		Annual/Biennial/Perennial	1500	700	32	6	25	15	30	110	Medium	M	Well	W	8	7	-5	Weed
FRAXAN87	Rosaceae	Strawberry	Fragaria	xananassa			F. chiloensis x F. virginiana		Bright to clea	"Long day, short day and day neutr"	Retains leaves through winter. Winter hardiness varies among cultivars. Grown as far north as Manitoba.		Perennial	900	600	28	6	24	11	180	270	"Deep, fertile, sandy loams"	MC	Well	W	7	5	-40	
GLYGLA05	Fabaceae	Licorice	Glycyrrhiza	glabra					Very bright	Long day	"Energy tonic respiratory, digestive hepatic, female systems and source of glycyrrhizin. Root crop."		Perennial	1000	500	30	5	25	14	90	150	"Heavy, medium"	FM	Well	W	8	7	-10	
GLYMAX02	Fabaceae	Soybean	Glycine	max			Dolichos soja; G. gracilis; G. hispida; Phaseolus max		Bright	Short day	"Doesn't survive excessive heat. Best on fertile, well-drained soils. Climate same as corn."		Annual	1500	600	38	10	33	20	75	180	Fertile loams	M	Well	W	7	6	0	
HELANN18	Asteraceae	Sunflower	Helianthus	annus					Bright	Short day	Northern two-thirds of US. Quite drought and cold tolerant until flower stage.		Annual	1000	600	45	5	34	17	70	200	Medium to light	MMCV	Well	W	8	6	-10	Weed
HELTUB20	Asteraceae	Jerusalem artichoke	Helianthus	tuberosus					Intermediate	Short day	Suitable crop in any climate and soil where corn grows. Perennial grown as annual.		Annual/Perennial	1397	381	30	7	27	15	80	150	Medium coarse; Loose circumneutral	MMC	Well	W	7	4	-42	
HORVUL27	Poaceae	Barley	Hordeum	vulgare	subsp. vulgare		H. distichon; H. hexastichon; H. irregulare; H. sativum		Very bright	Long day and day neutral	"Spring annual. Most hardy cereal crop under extreme alkali, frost, and drough conditions."		Annual	1000	500	40	2	20	15	90	120	Loams	M	Well	W	8	6	-4	
HYSOFF33	Lamiaceae	Hyssop	Hyssopus	offinalis					Bright to clou		"Naturalized in Europe and North America. A xerophyte, it does not tolerate standing water."		Perennial	1000	600	36	7	21	10	180	220	"Medium, light"	MMCV	Excessive	W	8	6	-30	
LACSAT56	Asteraceae	Lettuce - Iceberg	Lactuca	sativa	var. capitata				Clear	Short day and day neutral	Prefers shallow soils of moderate fertility. Low salt tolerance.		Functional Annual/Biennial	1400	1100	30	5	21	12	80	130	Light to medium textured soils	MMCV	Well	W	7	6	-1	
LATSAT66	Fabaceae	Grass pea	Lathyrus	sativus					Bright	Long day and day neutral	Tolerant to extreme drought conditions and to excessive floods. Sensitive to acidity.		Annual	1000	400	32	4	28	10	100	190	Heavy clays	F	Well	W	8	6		
LENCUL75	Fabaceae	Lentil	Lens	culinaris	subsp. culinaris		L. esculenta; Cicer lens; Ervum lens		Bright	Long day and day neutral	"Tolerant to drought, but no waterlogging tolerance. Moderate salinity tolerance."		Annual	1000	600	32	5	29	15	70	240	"Best on clay, but wide range"	FM	Well	W	8	5		
LEVOFF81	Apiaceae	Lovage	Levisticum	officinale					Very bright	Long day	Root crop.		Perennial	1200	700	22	6	18	12	140	160	"Medium, organic"	M	Well	W	7	6	-40	
LINUSI90	Linaceae	Flax	Linum	usitatissimum					Clear to cloud	Long day and day neutral	Moderate to cool temps during season. Damaged at -1 C in spring and -9 C later. Poor competitor. Not salt tolerant.		Annual	800	500	30	5	24	16	80	180	Silt clay loams and silty clay	FM	Well	W	7	6	-6	
LOLMUL96	Poaceae	Ryegrass - Annual	Lolium	multiflorum					Bright to clou	Long day	Hardy but short lived grass. Usually sown as winter annual. Sensitive to drought and cold.		Annual/Perennial	900	500	38	2	30	14	90	270	Medium textures	M	Poor	P	7	5	-4	Weed
LOLPER97	Poaceae	Ryegrass - Perennial	Lolium	perenne			L. boucheanum		Bright to clou	Long day	"Adapted to mild, humid temperate climate. Less drought and cold resistant than other types."		Perennial	1300	700	35	5	25	14	90	270	"Heavy, rich, moist soils"	FM	Well	W	8	5	-31	Weed
LOTCOR99	Fabaceae	Birdsfoot trefoil	Lotus	corniculatus					Bright to clou	Long day and day neutral	"Smooth plants. Wide range of soils, not particularly drought resistant."		Perennial	1524	609	30	3	25	15	90	270	Medium fine; Thrives on rich soils	M	Well	W	8	6	-33	
LUPALB05	Fabaceae	Lupin - White	Lupinus	albus					Bright to clea	Long day	Southern crop that makes heavy winter growth. Most winter hardy of lupines.		Annual	1000	400	32	6	24	18	90	180	Medium to light textured soils	MMCV	Well	W	7	6	-8	
LUPANG06	Fabaceae	Lupin - Blue	Lupinus	angustifolius					Bright to clou	Long day	Prefers deep soils of high fertility. Low salt tolerance.		Annual	1000	400	26	4	18	12	100	180	Medium to light textured soils	MMCV	Well	W	7	6	-6	
LUPLUT07	Fabaceae	Lupin - Yellow	Lupinus	luteus					Bright to clea	Long day	Prefers soils of moderate depth. Low salt tolerance.		Annual	1000	450	30	6	24	18	100	180	Light textured soils	MMCV	Well	W	7	6	-3	
LYCESC09	Solanaceae	Tomato	Lycopersicon	esculentum	var. esculentum		L. pyriforme; Solanum lycopersicum		Clear	"Long day, short day and day neutr"	"Most damage occurs from too much heat, so moderate climate is preferred."		Functional Annual/Biennial	1300	600	35	7	27	20	70	150	Medium fine; deep loam	M	Well	W	8	6	0	
MALDOM16	Rosaceae	Apple	Malus	domestica			M. pumila; M. sylvestris; M. sylvestris domestica; Pyrus malus		Bright to clea	"Long day, short day and day neutr"	Species available that will grow anywhere. Longer growing season means larger crop.	Tree	Perennial	2500	700	33	8	27	14	70	170	Light to Medium	MMCV	Well	W	7	6	-40	
MATREC25	Asteraceae	German chamomile	Matricaria	recutitia			Chamomillia recutitia; M. chamomillia		Full sun				Annual	1000	700	30	6	24	18	60	70	Clay soils	F	Well	W	8	7		
MEDSAT35	Fabaceae	Alfalfa	Medicago	sativa	subsp. sativa				Bright	"Long day, short day and day neutr"	Hardy species able to tolerate drought conditions. Not well adapted to humidity.		Perennial	1655	305	35	5	26	21	90	210	Medium fine; deep loams with porous	M	Well	W	8	6	-38	
MELALB42	Fabaceae	Clover - White sweet	Melilotus	albus					Bright to clea	Long day	Biennials more drought tolerant once germination and early growth is completed. Can be grown as an annual.		Biennial	1100	700	30	2	25	13	110	165	Any non-acid soil	A	Well	W	8	7	-36	Weed
MELOFF45	Fabaceae	Clover - Yellow sweet	Melilotus	officinalis					Bright to clea	Long day	Best of sweet clovers for soil improverment.		Biennial	1651	450	28	5	24	12	100	210	Any non-acid soil	FM	Well	W	8	7	-36	Weed
MELOFF46	Lamiaceae	Lemon balm	Melissa	officinalis					Very bright	Long day	Sedative. Survives best with a continuous snow cover. Long-lasting cold weather results in root damage. Sensitive to excessive or inadequate soil moisture.		Perennial	1000	800	30	6	25	14	60	140	Medium	M	Well	W	6	5	-32	
MENPIP47	Lamiaceae	Peppermint	Mentha	piperita	nothosubsp. pipe				Bright to clea	"Long day, short day and day neutr"	"Propagated from runners, as plants produced from seed are not uniform. Grown on mucks and sandy loams. Never found in dry conditions. Needs full sun and 15-16 sun hours. Winter hardy with snow cover. No stag"		Perennial	2200	1000	35	4	25	15	40	330	Muck or sandy loam soils	MMCV	Well	W	7	6	-40	
MENSPI49	Lamiaceae	Spearmint	Mentha	spicata			M. viridis		Very bright	Long day	"Propagated from runners, as plants produced from seed are not uniform. Winter hardy with snow cover. Naturalized throughout north temperate regions. Grown on mucks and sandy loams."		Perennial	1200	900	36	4	25	15	40	270	Medium	M	Well	W	8	6	-40	
NEPCAT62	Lamiaceae	Catnip	Nepeta	cataria					Very bright	Long day	Has behavior modifying influence on cats. Grown north through Canada.		Perennial	1000	600	26	4	19	7	150	210	"Medium, light"	MMCV	Well	W	8	5	-40	
OCIBAS68	Lamiaceae	Basil	Ocimum	basilicum					Very bright	"Long day, short day and day neutr"	Possible origin Africa. Grows best as a long day plant.		Annual	1600	1000	36	7	27	18	80	270	Medium	M	Well	W	7	6	0	
ONOVIC74	Fabaceae	Sainfoin	Onobrychis	viciifolia			Hedysarum onobrychis; O. sativa		Bright to clea	Long day	Introduced in Illinois but not well suited due to slow growth and humid conditions. Good drought resistance. Slow to establish and small climatic range. No intensive grazing.		Perennial	800	305	34	4	27	18	90	210	Medium; calcareous soils	M	Well	W	8	7	-38	
ORIMAJ78	Lamiaceae	Sweet marjoram	Origanum	majorana			O. hortensis		Very bright		Often used as an annual due to winterkill. Sometimes naturalized in Mediterranean region. Cultivated as an annual in more temperate regions.		Annual/Perennial	1000	800	30	6	26	10	90	180	Medium	M	Well	W	7	6	-2	
ORIVUL79	Lamiaceae	Oregano; European oregano; Wild majoram	Origanum	vulgare					Very bright	"Long day, short day and day neutr"			Perennial	1300	400	32	4	28	17	180	300	Light	VC	Well	W	7	6	-5	
PANMIL88	Poaceae	Millet - Proso	Panicum	milaceum			P.milaceum var. milaceum		Very bright	"Long day, short day and day neutr"	Commonly used as wild bird feed. Certain varieties grown in Wisconsin and Minnesota. Needs warm soils. Shallow rooted. Not for sandy soils.		Annual	1000	200	45	15	32	20	55	280	Medium	M	Well	W	7	6		
PANQUI86	Araliaceae	American ginseng	Panax	quinquifolium					Cloudy-lt shad	Long day	"Energy tonic. Grown in hardwood forests. Best in rich, moist, well drained forest soils. Requires 75-90% shade. Found north through southeastern Canada into areas with annual temperature of 10 C."		Perennial	1280	900	30	5	26	12	100	330	"Medium, organic"	M	Well	W	7	5	-37	
PANVIR90	Poaceae	Switch grass	Panicum	virgatum					Bright	Short day	Slight drought resistance. Moderate tolerance of soil salinity and acidity.		Perennial	1100	500	36	6	32	17	140	365	Medium and light; light textures	MMCV	Well	W	8	5	-34	Weed
PASSAT01	Apiaceae	Parsnip	Pastinaca	sativa	subsp. sativa				Bright to clea	"Long day, short day and day neutr"	Prefers deep soils with high fertility. Low salt tolerance.		Annual	800	500	25	5	21	15	80	150	Medium texture	MMC	Well	W	7	6	-5	Close relative of noxious weed:OH
PASSMI94	Paeoniaceae	Wheatgrass - Western	Pascopyrum	smithii			Agropyron smithii; Elymus smithii		Bright to clea	Long day	Grown in the Midwest and western US. Cool season grass with extreme drought. Fair salt resistance and moderate alkali tolerance.		Perennial	812	254	45	2	20	7	80	165	Medium and fine; heavy or alkaline	FM	Well	W	8	7	-38	
PETCRI05	Apiaceae	Parsley	Petroselinum	crispum	var. crispum				Clear to cloud	"Long day, short day and day neutr"	Normally grown indoors for a while to mature before field planting. Sensitive to heat.		Functional Annual/Biennial	1500	900	28	7	20	11	70	365	Medium textures	M	Well	W	8	6	-5	
PHAARU08	Poaceae	Reed canary grass	Phalaris	arundinacea					Bright to clea	Long day	Cool season grass found in marshes and meadows liable to flooding. No saline soil.		Perennial	1500	700	38	2	25	17	120	240	"Moist, sandy, with high organic mat"	MMCV	Semi-Poor	P	8	6	-36	Weed
PHACAN09	Poaceae	Canary seed	Phalaris	canariensis					Bright to clea	Long day	"Same climate as spring wheat. Currently just birdseed, but other uses possible."		Annual	1500	800	25	6	18	11	70	100	"Heavier, clay loam soils"	F	Well	W	7	6		
PHAVUL15	Fabaceae	Green bean; beans in general	Phaseolus	vulgaris	var. vulgaris				Bright to clea	Short day and day neutral	White beans in humid region and North. Colored beans in dry and warm regions.		Annual	2000	500	35	9	30	16	120	130	Medium textures	M	Well	W	8	6	1	
